,"x",72.57231,
"530",33399324834.2615,33384150000,15174834.2615013
"531",43875222990.2362,43863410000,11812990.2361984
"532",55056051946.2225,55046660000,9391946.22250366
"533",67321306417.4364,67313750000,7556417.43640137
"534",79136522367.9931,79130670000,5852367.99310303
"535",89150469651.7789,89145940000,4529651.77890015
"536",97380963547.5551,97377570000,3393547.55509949
"537",104593262129.243,104590800000,2462129.24299622
"538",114350686873.14,114281700000,68986873.1399994
"539",130490867179.466,130403600000,87267179.4660034
"540",141462987780.906,141418200000,44787780.9060059
"541",133933858661.816,133907100000,26758661.815979
"542",113231818575.983,113162300000,69518575.9830017
"543",92491498430.2076,92435430000,56068430.2075958
"544",75280416192.3125,75232600000,47816192.3125
"545",61673680749.4822,61635990000,37690749.4822083
"546",51252944645.6159,51226950000,25994645.6158981
"547",42930801713.746,42911600000,19201713.7460022
"548",35951370825.0812,35934670000,16700825.0811996
"549",30231621310.7075,30213380000,18241310.7075005
"550",25648124076.5119,25634060000,14064076.5119019
"551",22178437711.6353,22164440000,13997711.6352997
"552",19966709055.4343,19956230000,10479055.4342995
"553",18758433847.8228,18751550000,6883847.82279968
"554",18290453634.9064,18286860000,3593634.90639877
"555",18500829098.1256,18481830000,18999098.1255989
"556",21365813924.7994,21352700000,13113924.7993965
"557",28381857035.9858,28373090000,8767035.9858017
"558",40496939182.7856,40493880000,3059182.78559113
"559",58332228159.5704,58330470000,1758159.57039642
"560",77312061855.6525,77314820000,-2758144.34750366
"561",93106331970.5878,93112770000,-6438029.41220093
"562",106066759992.608,106076300000,-9540007.39198303
"563",116602606200.682,116614100000,-11493799.3180084
"564",127778201349.637,127707800000,70401349.6369934
"565",145208431615.727,145144800000,63631615.7269897
"566",157390437327.281,157331500000,58937327.2810059
"567",155961600643.544,155912800000,48800643.5440369
"568",139156445456.256,139120000000,36445456.256012
"569",115796617049.988,115766400000,30217049.9880066
"570",96358198161.7915,96331660000,26538161.7915192
"571",80182846968.1564,80161790000,21056968.1564026
"572",66722693776.7043,66703530000,19163776.7042923
"573",55522112135.6369,55506820000,15292135.6369019
"574",46201730235.1361,46188430000,13300235.1361008
"575",38445966278.2662,38437870000,8096278.2661972
"576",31992142225.2686,31986270000,5872225.26860046
"577",26621718148.9217,26617590000,4128148.92169952
"578",22152788661.9457,22148860000,3928661.9457016
"579",18434046730.5647,18430050000,3996730.56470108
"580",15339568001.2865,15336080000,3488001.28650093
"581",29977258331.6207,29979700000,-2441668.37929916
"582",42770072082.5096,42771610000,-1537917.49039459
"583",54088224238.7942,54088320000,-95761.2058029175
"584",64419258442.0536,64418730000,528442.053596497
"585",74028769393.3405,74029230000,-460606.659500122
"586",83633780765.3633,83630660000,3120765.36329651
