,"E","QL","EL_s","EL_i","QN_s","QN_i","EN_s","EN_i","QA_s","QA_i","EA","H_s","H_i","cases"
"285",115307852199.133,18901788081.3126,155409682.865043,22500684855.0182,126494154.886027,19306510355.8259,2.28817502894074E-06,948211625.703,3.14593174757831E-08,12867893.3072207,169460963.709847,2.11815042849782E-10,0.008152174113769,569148704872.104
"286",124767652903.49,24491298974.3682,136848111.604465,25088126187.1592,139716912.240984,21495563762.7527,2.03340957586747E-06,943410424.230689,3.01441046826127E-08,13783065.479078,174652332.56936,1.90244334966358E-10,0.008152173953481,643647504529.578
"287",131802061709.576,29659380467.1241,120031764.395565,28605358906.1508,151012847.438217,24074525969.3433,1.80085071337304E-06,948052878.860851,2.66197877258115E-08,13785538.8824702,178589299.829497,1.69864578810546E-10,0.008152173923234,694947246098.567
"288",137292529797.533,33832463817.3975,105475848.643745,32870770268.0748,159912505.933122,26991740542.722,1.59743031906188E-06,967124285.389438,2.32882816865852E-08,13846887.8649106,181567066.106359,1.51505947075527E-10,0.008152173919762,714397143345.239
"289",141634371592.554,37139510816.2534,92855080.4315652,37582282563.1368,166784389.30498,30291904341.2753,1.41924865336605E-06,1000833658.18315,2.04018500200848E-08,14107889.3658757,185188795.714322,1.35000070021395E-10,0.008152173918852,743160201432.686
"290",145147497999.191,39711676337.5878,81893688.8495835,42508245791.574,171940615.799942,33985054957.1937,1.26295648245329E-06,1049562623.62179,1.78978859107194E-08,14565084.6168777,190409557.834523,1.20329634389845E-10,0.008152173918174,781711005574.523
"291",148001403683.856,41754898887.6864,72308573.8974291,47451314064.372,175694585.785116,38087188436.7711,1.12500168341201E-06,1113103275.24069,1.59155070687094E-08,15402880.05396,197716087.214164,1.07369679485006E-10,0.008152173917578,834205934123.275
"292",150139955179.278,43580592560.4121,63784722.2957301,52238437409.4523,178384650.323891,42668341656.7182,1.00127890546454E-06,1190180206.80869,1.42924696969398E-08,16599874.4778191,207732793.024121,9.58417666965102E-11,0.008152173917064,913671360804.844
"293",151610367113.57,45209095569.3031,56201623.5949745,56822206418.6088,180150081.416072,47712617275.1721,8.90273030717271E-07,1281330800.09311,1.28213017787432E-08,18014300.7847731,220600215.763706,8.5709182877293E-11,0.008152173916562,1007555481787.47
"294",152380477759.107,46635879835.9969,49463509.7696065,61168429779.9648,181102945.70397,53191834506.6154,7.90784230746586E-07,1387027173.50481,1.14891326260411E-08,19658240.6091171,236328324.080583,7.68804008226507E-11,0.008152173916091,1114217977712.37
